participant_id,Group,best_nll,best_initial_guess,AIC,BIC,Optimal_Choice,t,alpha,RT0Sub,RT0Opt,Weight,RT0Diff
1,1,99.62336015096702,"[3.8414229516536316, 0.19571726508112425, 7.433255983048993, 3.5557712301157434, 0.8689152995390803]",209.24672030193403,228.11947802965608,0.8944099378881988,1.90396757,0.0798301,4.45638312,23.9999,0.88978866,19.54351688
2,2,35.377225778339344,"[0.6885670618160653, 0.7022328283528911, 2.283584412852444, 8.767580083693133, 0.19246201249411327]",80.75445155667869,98.2811092363405,0.44308943089430897,3.66828407,0.142154747,2.6675637,0.0001,0.968376308,-2.6674637
3,2,170.2349168230928,"[0.26276107857183945, 0.09982583609642785, 4.779595521341173, 7.25018583005708, 0.006241382849459095]",350.4698336461856,368.0369773770105,0.49193548387096775,4.40034539,0.000100199309,2.62000476,2.62275023,0.0001,0.0027454699999998056
4,1,226.53230164076848,"[3.4903321454863048, 0.8035649210296587, 7.247544144177639, 0.23882411376885382, 0.6454276486508862]",463.06460328153696,482.0751951584223,0.5589123867069486,0.44364077,0.9999,1.74287872,0.23866605,0.84328791,-1.50421267
5,2,168.4058678186859,"[1.3287709330988347, 0.17867767805854062, 11.034590124057965, 12.424252003970267, 0.984560418840286]",346.8117356373718,364.3180266900954,0.5265306122448979,0.0468513207,0.167028619,0.0001,23.9999,0.0001,23.9998
6,1,96.84602046750616,"[4.216524081532266, 0.8635829812706457, 19.1105988376485, 12.636659974955768, 0.8627261167977527]",203.69204093501236,221.2186986146741,0.8130081300813008,1.6361112,0.0764486634,0.0001,0.563585924,0.563310639,0.563485924
7,2,153.56112451187886,"[2.0075087447204747, 0.18897898376764263, 8.525402447989551, 21.91925669813951, 0.9732115379587706]",317.1222490237577,334.6691907068976,0.31983805668016196,4.9999,0.00027272742,0.0001,0.0148310809,0.723512965,0.0147310809
8,2,166.86256222611877,"[2.26029415550901, 0.217340058096231, 9.16636955337667, 7.039710263666374, 0.8088826793887111]",343.72512445223754,361.2314155049612,0.563265306122449,3.46312559,0.0001,0.0150642325,0.0001,0.0001,-0.0149642325
9,2,164.4667898727948,"[2.302589893891308, 0.591367544182382, 17.972811202263575, 0.49080130367361224, 0.9718702820627778]",338.9335797455896,356.4602374252514,0.6097560975609756,2.40933287,0.0001,0.0468594542,0.0001,0.0001,-0.046759454199999995
10,1,168.13104014963594,"[1.4989039548445129, 0.04185913735461764, 20.199470156982617, 2.2594491463753417, 0.38651860627599915]",346.2620802992719,363.7273875159746,0.5267489711934157,0.00669724084,0.00569987022,20.1695069,2.2690038,0.0001,-17.900503099999998
11,2,221.9841695781833,"[3.8938557930227415, 0.0838655617749591, 18.699342378630398, 8.565811195748996, 0.8532572603516237]",453.9683391563666,472.8874650680153,0.5169230769230769,3.45910556,0.0910403,18.69933313,8.5658143,0.47319788,-10.13351883
12,1,166.7837326097253,"[0.7467720487465985, 0.4977046460078986, 1.6652307832761528, 5.457428708880854, 0.03197633847239977]",343.5674652194506,361.1547297017741,0.5823293172690763,0.78074399,0.0397323745,0.0001,1.15783965,0.591670548,1.1577396500000001
13,2,136.199687806068,"[2.155577405856058, 0.6268050450729807, 10.026641715812964, 9.378235926296307, 0.1684877303896238]",282.399375612136,300.00668020144724,0.368,1.82395519,0.0232493104,23.9999,21.0495248,0.808486095,-2.9503752
14,1,160.39328201697637,"[4.866945838221341, 0.9613948279174511, 5.60511137618362, 10.18971106587563, 0.2896552119978162]",330.78656403395274,348.1268647396284,0.4219409282700422,3.59439929,0.0001,0.0001,0.0145385603,0.0001,0.0144385603
15,2,27.92092052954469,"[1.27612387082739, 0.12694474446509682, 13.646120438809545, 18.90237818571391, 0.5321285874410102]",65.84184105908939,83.34813211181303,0.9551020408163265,3.4063239,0.000471097062,19.1828046,17.0290477,0.0268199969,-2.153756900000001
16,1,212.20415357249752,"[2.1348199343882777, 0.2710830728822331, 17.93891926152076, 20.92425130370184, 0.3221401399209082]",434.40830714499504,453.218564058896,0.5817610062893082,0.290479507,0.0652434112,13.1086222,12.6956029,0.0001,-0.4130192999999984
17,2,165.61094319932366,"[2.227411568191201, 0.9685963360583744, 20.651320538012268, 14.940006543845447, 0.7464025672391864]",341.2218863986473,358.7485440783091,0.46747967479674796,4.36292795,0.0001,0.0066477776,0.0001,0.0001,-0.0065477776
18,1,163.4317808890681,"[2.239263597660336, 0.23819380625193662, 7.013367748449103, 15.27636610173453, 0.46798699502363716]",336.8635617781362,354.390219457798,0.4268292682926829,4.10154173,0.06829992,8.42804382,13.51612767,0.40318401,5.08808385
19,2,79.48947290946761,"[2.6940376862178352, 0.022856438011427418, 15.767617793770617, 12.74562039327425, 0.03682180985009401]",168.97894581893522,187.9134327257688,0.9141104294478528,2.912697,0.03413361,15.76832649,12.7446949,0.46509474,-3.023631589999999
20,2,167.34906691205114,"[1.165558125613708, 0.17477418256973767, 0.342768396838862, 1.3659824457370104, 0.4420044078079093]",344.6981338241023,362.163441040805,0.48559670781893005,1.50330278,0.00304975393,0.0653343952,0.0001,0.0001,-0.0652343952
21,1,198.68035547161648,"[1.359773855260119, 0.4104723871972193, 1.8744574451714349, 14.709090193588251, 0.3806135677261154]",407.36071094323296,426.2798368548816,0.6738461538461539,2.32078009,0.02869699,3.09576527,14.85817398,0.69838055,11.76240871
22,2,130.7347346901663,"[3.8004425643304236, 0.07038002996125842, 15.763982046238809, 2.2296632933750855, 0.8037057080614833]",271.4694693803326,288.8934540477859,0.7593360995850622,2.78759932,0.0001,0.083323751,0.0001,0.0001,-0.083223751
23,2,220.908328258183,"[2.329167994184982, 0.08198125584316338, 23.45111980613662, 10.62874642514062, 0.06421250818035214]",451.816656516366,470.689414244088,0.4472049689440994,1.16387208,0.0031669013,23.4407854,10.5690715,0.996580854,-12.8717139
24,1,226.4272732524657,"[1.496969589595664, 0.08668363170544635, 21.077027089157173, 22.30756484676105, 0.5391903841447624]",462.8545465049314,481.8348352587583,0.5167173252279635,3.18695581,0.00277097596,22.6542893,23.9999,0.568321275,1.3456107000000017
25,2,57.236742443787215,"[0.5579792099496919, 0.5153097103507437, 19.366749232560018, 18.601826076894408, 0.3414732108802348]",124.47348488757444,141.95932601404044,0.13934426229508196,2.27986179,0.02541197,23.9999,13.36056969,0.88083191,-10.63933031
26,1,137.32670772277396,"[0.2188905924241971, 0.12290384887861308, 5.987718883738641, 2.927701052561253, 0.29676311393892907]",284.6534154455479,303.6337041993748,0.851063829787234,0.682289987,0.00183885263,2.13062118,0.0001,0.0001,-2.1305211799999997
27,2,129.40438605132866,"[3.9111146260109892, 0.5307104794590096, 18.74999117722179, 16.846407240064874, 0.8995936930790244]",268.8087721026573,286.2119667193673,0.325,1.83325867,0.0128980985,23.9999,22.5943869,0.764583399,-1.4055131000000003
28,1,57.03760831053776,"[1.5517188612231785, 0.6418668343904634, 8.51655328927593, 13.30360657229459, 0.7514355044542332]",124.07521662107553,141.47841123778548,0.925,4.03923447,0.00321758579,8.4633278,13.3713251,0.928757149,4.9079973
29,1,148.9384675763185,"[2.025844221942045, 0.03352710628949051, 6.42641330305276, 12.312567640822584, 0.42340325790277955]",307.876935152637,325.4035928322988,0.6829268292682927,3.96498549,0.00405612801,9.27839918,11.1872133,0.647350652,1.9088141200000006
30,2,78.56047586970043,"[3.8329217144097103, 0.702206901029901, 9.713690696588257, 2.390189361729237, 0.7514127010619447]",167.12095173940085,186.0554386462344,0.9325153374233128,1.9775458,0.0175942,2.76469267,2.48294883,0.09702419,-0.28174383999999986
31,1,185.0111618249745,"[0.3158571317370069, 0.0574540386606082, 11.889988712122578, 17.673711504528296, 0.9705076622459751]",380.022323649949,399.0026124037759,0.6200607902735562,2.81148199,0.0284669151,0.0001,23.9999,0.52460774,23.9998
32,2,80.81376338216356,"[0.7829845610976074, 0.8460858559978806, 1.8550683161310466, 6.896677273061424, 0.9358274428410643]",171.62752676432711,190.63811864121243,0.9274924471299094,1.5091219,0.00157203584,1.07148819,0.0001,0.0001,-1.07138819
33,1,164.29957022971317,"[4.63054636984853, 0.18663717517756057, 20.59978182900207, 16.97666764360561, 0.8646349362583543]",338.59914045942634,357.4718981871484,0.6894409937888198,3.27245501,0.000503773249,20.5999748,20.7822364,0.150144965,0.18226160000000036
34,2,169.80963112340316,"[3.14001152466439, 0.0981286863071695, 11.984001294390689, 21.326245168061867, 0.7807985872118823]",349.6192622468064,367.1662039299462,0.5141700404858299,0.771801342,0.0583890201,23.9999,0.0001,0.739498448,-23.9998
35,1,114.39389027390962,"[1.48426519466313, 0.8651329779026656, 7.398680983993094, 1.2399406133851751, 0.8671457200529162]",238.78778054781924,256.3347222309592,0.7813765182186235,4.9999,0.000618661622,2.8364989,2.83484845,0.0746040823,-0.001650450000000081
36,2,218.85746732786168,"[1.9703943516110587, 0.16988159919119838, 9.160122620862001, 12.035633411481314, 0.00042405106448858775]",447.71493465572337,466.5251915696242,0.5440251572327044,3.1665828,0.0001,0.0102284616,0.0001,0.0001,-0.010128461600000001
37,1,166.357024571757,"[4.826228596866508, 0.16403409804105354, 5.54132000198473, 2.341268350516533, 0.7385728531995039]",342.714049143514,360.1793563602168,0.4732510288065844,4.88163335,0.0590164701,5.54034827,2.3656718,0.0001,-3.17467647
38,2,166.74097351366137,"[4.828753436857968, 0.33375926717608356, 7.323334070553171, 4.032825791929935, 0.7237740947092242]",343.48194702732275,361.00860470698456,0.44715447154471544,4.9999,0.03228375,7.42451695,3.22005641,0.10739506,-4.2044605399999995
39,1,80.73158551901976,"[2.2380635474995123, 0.04480339772260839, 11.887913958937723, 14.479311745537458, 0.5828952235122697]",171.46317103803952,188.94901216450552,0.8729508196721312,1.78698853,0.0691975,13.9606592,23.9999,0.72131797,10.0392408
40,2,191.8575291962945,"[1.4307180630326022, 0.54306558450429, 21.13834762605715, 22.629081593623123, 0.09152823482178826]",393.715058392589,412.63418430423775,0.7230769230769231,2.2357973,0.0001,22.5721943,22.4024549,0.50645488,-0.16973940000000098
41,2,223.15343034355857,"[4.325705307510261, 0.2066607192348431, 14.26562668423215, 11.403378765755761, 0.3386404573762892]",456.30686068711714,475.3174525640025,0.595166163141994,3.67628075,0.000191835161,23.9999,12.5541168,0.735224442,-11.445783200000001
42,1,153.5324848448603,"[4.371908372183044, 0.7842735745474388, 4.04054762628355, 1.1153161335747699, 0.5980711678002018]",317.06496968972067,334.5712607424443,0.6693877551020408,1.00053512,0.8635461,4.03854111,1.11531613,0.9999,-2.9232249799999996
43,2,167.45069099197366,"[1.0787845895671992, 0.7301486016983304, 2.752770466839057, 0.6556089307524576, 0.8599117228789114]",344.9013819839473,362.3460706147308,0.512396694214876,2.01448651,0.000455336211,0.0001,0.000482406214,0.000122835798,0.000382406214
44,1,164.34670958373044,"[0.7099595752659398, 0.6597229814827021, 2.4096867500807737, 9.921120881633371, 0.4987143003285372]",338.6934191674609,356.05477253581824,0.48739495798319327,3.29497903,0.000105349743,0.000352394907,0.0124537832,0.0001,0.012101388293
45,2,121.08842535581512,"[3.091207695010849, 0.6416715459614646, 20.98648530670302, 17.471513983144668, 0.9867793415007838]",252.17685071163024,269.6831417643539,0.2857142857142857,3.32053859,0.00037400688,18.9456425,19.0384255,0.316089573,0.09278299999999717
46,1,220.18079799955424,"[3.0120458683763913, 0.09234661164126687, 4.716336781649988, 6.075713463963191, 0.7826982202320376]",450.3615959991085,469.296082905942,0.50920245398773,0.317862701,0.9999,0.0001,23.9999,0.565135315,23.9998
47,2,166.71581464246566,"[0.5468485799459609, 0.9558011696904111, 4.4623233739761785, 9.122872454896532, 0.36046546443303895]",343.4316292849313,360.9379203376549,0.4897959183673469,4.78747221,0.000109122285,0.51216148,0.509235054,0.0001,-0.0029264259999999265
48,1,164.99301825026907,"[2.757240149203287, 0.7980570142379703, 3.300768340236091, 9.552907697865543, 0.16588299106215704]",339.98603650053815,357.4307251313216,0.5495867768595041,0.595185984,0.688070859,0.0001,0.0001,0.84055556,0.0
49,2,116.88675188060428,"[1.5139152558593894, 0.8683300121084204, 20.366698553937056, 23.60974913861283, 0.6677937225555465]",243.77350376120856,262.799178605791,0.8765060240963856,4.49261312,0.07193158,23.9999,7.89743138,0.09931103,-16.10246862
50,1,158.1357241533637,"[0.31059928670566633, 0.10994758098173313, 7.531481036174837, 17.546744076284426, 0.6603442081849965]",326.2714483067274,345.19057421837607,0.7784615384615384,4.10485265,0.00487751865,8.37379896,17.3578222,0.808852619,8.98402324
51,1,190.08483441098076,"[3.2109461491280324, 0.6735643012365706, 3.1374967660906936, 7.608785587948066, 0.9843050401009139]",390.1696688219615,408.78759433172337,0.6601307189542484,3.00277716,0.01650146,0.72849376,0.86046335,0.65782726,0.13196958999999997
52,2,167.14982302673562,"[1.4960903400571048, 0.9434890727591783, 6.082316742394412, 15.78735862218439, 0.9415109294705837]",344.29964605347124,361.82630373313305,0.483739837398374,0.218521821,0.233573548,2.78092915,0.0001,0.0001,-2.7808291499999997
53,1,156.7958691142623,"[0.1274235800708599, 0.10704840614410945, 1.814790921537257, 0.6282992357430083, 0.927885664165464]",323.5917382285246,340.82542508685617,0.5344827586206896,0.444502903,0.9999,12.7773924,0.0001,0.747508352,-12.7772924
54,2,165.50678394862382,"[1.4897255639185871, 0.7064838672764908, 5.618037749401903, 0.20796892166867503, 0.2961324022038133]",341.01356789724764,358.4582565280311,0.5206611570247934,0.213448557,0.129503836,23.9999,0.0001,0.620002139,-23.9998
55,1,167.29491778325274,"[3.794412689792745, 0.0035112600804077495, 7.248435971798742, 15.776190023156019, 0.4854988840218507]",344.5898355665055,362.1164932461673,0.45528455284552843,4.1852578,0.03602031,3.01502754,23.9999,0.4409911,20.98487246
56,2,135.94259380328953,"[0.3806699782658267, 0.6183042925457084, 8.752572989830474, 3.338032444181008, 0.6386543755460071]",281.88518760657905,299.39147865930266,0.7428571428571429,4.9999,0.000167796691,0.0780821817,0.000101445456,0.495182561,-0.07798073624400001
57,1,160.88624874925594,"[1.0641218563111907, 0.8384727067854513, 8.37514589156136, 9.881252619220424, 0.2835444912607114]",331.7724974985119,349.0916565236399,0.4788135593220339,4.27724157,0.000102348587,0.00452262106,0.000647206829,0.0001,-0.0038754142309999997
58,2,72.9618672453408,"[3.347278537129195, 0.7979537361909892, 16.523860878305005, 17.262954868808286, 0.9993879869555786]",155.9237344906816,173.51099897300514,0.15261044176706828,3.41396378,0.000186075677,16.88255,16.9206047,0.0734457376,0.0380547
59,1,166.550467699419,"[2.565419957393683, 0.5690161798174483, 10.691764386427884, 5.206342642837989, 0.8631418772548074]",343.100935398838,360.5456240296214,0.4793388429752066,0.0273974044,0.0662073782,23.9999,0.0001,0.0001,-23.9998
60,2,199.72328728640997,"[4.239809385430609, 0.3688731858950854, 12.917219656122406, 20.35795881270928, 0.10315073487510457]",409.4465745728199,428.4420378451225,0.37272727272727274,1.75917336,0.203068847,23.9999,0.0001,0.769466836,-23.9998
61,1,104.61340089651578,"[1.7515106534288816, 0.46736522070915787, 15.17976822322017, 11.558875650159548, 0.6860827997992627]",219.2268017930316,235.8903957593584,0.7536231884057971,1.58721282,0.09417429,21.55254341,23.9999,0.86149073,2.447356590000002
62,2,159.43111684086804,"[2.085127453056306, 0.8008247016331117, 18.437940241497046, 3.1519012014813166, 0.34808382211901234]",328.8622336817361,346.3275408984388,0.38271604938271603,0.750536248,0.626211881,0.0001,23.9999,0.835589617,23.9998
63,1,168.66468994490288,"[1.1776246860142414, 0.2986183742986901, 4.930762557284604, 5.3166135318066665, 0.1598512934087383]",347.3293798898057,364.8152210162718,0.4713114754098361,0.0410791282,0.0001,0.212078366,3.70303761,0.227580325,3.490959244
64,2,155.1473575482087,"[0.9383503737970212, 0.827181329569391, 12.46861069918941, 12.893580127982304, 0.8082373774917722]",320.2947150964174,337.8416567795573,0.3562753036437247,1.08775899,0.138571963,21.2949027,0.0001,0.778796687,-21.2948027
65,1,222.38369857924724,"[2.2253439093157046, 0.12222517390900096, 13.762923719312354, 9.26668728516029, 0.2571673201304705]",454.7673971584945,473.7476859123213,0.5106382978723404,4.9999,0.000123097427,0.783837299,0.7794608,0.0342990176,-0.004376499000000034
66,1,160.09019529685162,"[4.849522778465527, 0.3164099979546946, 12.080615223376679, 2.460556128128151, 0.47063156799760847]",330.18039059370324,347.70704827336505,0.6382113821138211,4.96325101,0.17852924,12.08061522,2.46049716,0.30512134,-9.62011806
67,2,167.23207682117717,"[4.63547481916357, 0.1081772849582028, 9.881356451880333, 22.53868383314037, 0.8184363595921113]",344.4641536423543,361.9499947688203,0.4385245901639344,4.68904054,0.00215889679,9.2255113,22.678597,0.132749882,13.453085699999999
68,1,172.64614998739964,"[3.961563110432173, 0.31839298726227805, 16.593252875600566, 8.951043948761454, 0.3497793164094826]",355.2922999747993,372.8996045641105,0.488,0.0354579549,0.844520508,23.9999,0.0001,0.0001,-23.9998
69,2,160.19217100702167,"[1.5072393980193104, 0.6775631916289875, 11.451248538224842, 16.597134266195972, 0.7687464845108992]",330.38434201404334,347.91099969370515,0.4024390243902439,3.76556266,0.000140165266,11.4244989,16.6823464,0.630713228,5.2578475000000005
70,1,160.68396882612953,"[2.029728349456668, 0.6776974009096274, 6.355023859785067, 5.284635026446724, 0.44367971489234226]",331.36793765225906,348.8537787787251,0.3770491803278688,3.86196916,0.000204323903,4.5246595,4.53335164,0.0001,0.00869213999999996
71,1,169.91693163954136,"[2.1314009175890574, 0.7182094909450146, 21.927735437802767, 7.424347834237534, 0.5037176745121107]",349.8338632790827,367.3808049622226,0.5222672064777328,0.386506519,0.8577392,23.9999,0.0001,0.842309256,-23.9998
72,2,173.84386017999077,"[0.1731819536115861, 0.6084633441714461, 19.96011992695046, 3.0381430656675286, 0.36543005377309884]",357.68772035998154,376.6680091138084,0.7355623100303952,4.80591689,0.0001,20.235953,3.58423844,0.223038879,-16.65171456
73,1,161.56501285696743,"[4.89057948110247, 0.08768118758663354, 21.20522122347228, 19.50399723938999, 0.5791973635128667]",333.13002571393486,350.4703264196105,0.4345991561181435,0.178652539,0.378604757,0.0001,2.70679902,0.0001,2.70669902
74,2,61.83207757450997,"[1.5481124263507706, 0.7171501838030757, 15.253469312410612, 4.324967025587225, 0.005410733567001676]",133.66415514901996,152.62922319094068,0.10060975609756098,3.97920306,0.00339561526,14.47291,8.96220371,0.971524682,-5.51070629
75,1,126.3248448955478,"[0.9729755613180113, 0.9957743452294379, 11.042879183046539, 16.29940416929535, 0.6512787260958965]",262.6496897910956,280.1149970077984,0.757201646090535,3.8309132,0.00252729984,11.0428645,16.3008935,0.768805314,5.2580290000000005
76,1,227.20730992413544,"[1.2813716640669661, 0.6966513617968881, 9.78558953551837, 2.289980971146118, 0.8767304945970497]",464.4146198482708,483.4402946928533,0.4608433734939759,4.3919892,0.0001,1.03612978,1.03318944,0.0001,-0.0029403400000000968
77,2,110.87317956270763,"[3.209693651239311, 0.2728963612062899, 0.8140322116039779, 15.967071048696097, 0.7702515634417514]",231.7463591254153,249.21166634211804,0.3292181069958848,4.36803917,0.00222630547,0.148888759,0.0001,0.908863269,-0.14878875900000002
78,1,108.16228193413735,"[3.996080955776821, 0.060476371113031814, 14.952338735489302, 14.162313881971972, 0.24985771083091496]",226.32456386827477,243.7277584849847,0.825,4.68558242,0.0001,14.9530953,3.19133575,0.593507048,-11.761759549999999
79,2,164.99747111997158,"[2.713806039914007, 0.45214007440125337, 3.862114645566459, 0.12874885588630122, 0.7826991559456691]",339.9949422399432,357.3772599996007,0.5271966527196653,0.0351384007,0.0926273184,16.858745,0.0001,0.134728826,-16.858645
80,1,163.00819697042826,"[1.5167779880793877, 0.7597682553112857, 17.828668102723267, 1.9085138043945402, 0.9650005919018259]",336.0163939408565,353.4403786083098,0.49377593360995853,0.0845459154,0.634991135,23.9999,0.0001,0.0001,-23.9998
81,2,144.70785900590815,"[0.41382930454058914, 0.9299581971334993, 5.2504492589782155, 1.1848647442171891, 0.06678817190115106]",299.4157180118163,316.9828617426412,0.3951612903225806,2.46311125,0.0437170746,23.9999,0.0001,0.740534018,-23.9998
82,2,156.5079023264463,"[4.632215000775739, 0.03394582451809284, 4.549476497945293, 11.747703897598777, 0.19040510961033913]",323.0158046528926,340.5627463360325,0.6720647773279352,1.74045371,0.000102577203,0.140717328,0.0001,0.0001,-0.140617328
83,1,97.02710462198176,"[0.4474048296792292, 0.640330390775526, 1.7510371612323021, 2.8734990109538936, 0.07128872456308058]",204.05420924396356,223.01927728588424,0.8597560975609756,4.71350563,0.00106892025,0.199324494,0.104626869,0.935988577,-0.094697625
84,2,231.0529805647338,"[0.6807319152631326, 0.5021904384252966, 0.963563626765685, 0.7334952963834005, 0.9085511970480884]",472.1059611294676,491.1616660943511,0.5059880239520959,0.957357214,0.00547046211,0.905595605,0.772106646,0.0001,-0.13348895900000002
85,1,170.4633223936899,"[0.5719167482540253, 0.14010447862132652, 4.20435477040681, 4.09744978895797, 0.45661707557637443]",350.9266447873798,368.4533024670416,0.491869918699187,0.00389008621,0.0001,0.0001,10.8222697,0.115197401,10.8221697
86,2,146.8353732359865,"[1.3602156040001385, 0.7223526503023446, 7.601531093125644, 13.38595936757114, 0.5959635413419818]",303.670746471973,321.01104717764866,0.350210970464135,4.13767531,0.000195324901,7.56420624,13.3873985,0.707213528,5.82319226
87,1,223.491736880099,"[4.77825002465574, 0.05197104689212868, 22.683193261854083, 6.63740048815832, 0.6195554882163211]",456.983473760198,475.9332746146843,0.5107033639143731,4.71833594,0.00747699292,22.6831933,7.77989207,0.00853879669,-14.90330123
88,2,225.7504410486216,"[2.8759158157767306, 0.22349518059245724, 16.876377392585077, 6.525816434512067, 0.28212043412481475]",461.5008820972432,480.4506829517295,0.5198776758409785,0.0380838313,0.242361517,23.9999,0.0001,0.0001,-23.9998
89,1,93.68858701079932,"[3.5332213428481825, 0.6696044267951367, 1.024397450554188, 9.371713646800737, 0.11079920418380299]",197.37717402159865,216.37263729390125,0.906060606060606,1.92727459,0.06325583,1.87938678,5.84630221,0.8063799,3.9669154300000002
90,2,225.27297396910888,"[1.703603512989602, 0.08437833845193249, 0.2508477125157176, 2.629083465303479, 0.9342885528555436]",460.54594793821775,479.5262366920446,0.47416413373860183,0.371461033,0.9999,0.0001,13.0584125,0.732192294,13.0583125
91,1,169.3508683243732,"[3.8866316490328425, 0.2167658419491648, 2.8835474096867424, 17.059717324830707, 0.6135855098730334]",348.7017366487464,366.20802770147,0.4775510204081633,0.0315464946,0.365107832,0.0001,23.9999,0.0001,23.9998
92,1,143.828218177806,"[4.362388257406967, 0.6121984860740107, 11.81635275162247, 17.985269118670708, 0.09929996349673048]",297.656436355612,315.1627274083356,0.6979591836734694,3.99708815,0.00414193442,13.5752445,13.8340528,0.434060731,0.2588083000000001
93,1,170.08913916748304,"[0.020927691806192233, 0.13962653692997093, 17.462740997137065, 23.799659170632758, 0.5922172179070035]",350.1782783349661,367.7049360146279,0.5,0.25545552,0.9999,17.46433415,23.7961843,0.9999,6.331850150000001
94,2,225.33741218236688,"[0.8389239355348265, 0.441811752913306, 21.650636919652175, 5.3835795972185885, 0.9405526231604615]",460.67482436473375,479.62462521922,0.46788990825688076,0.531527559,0.776792112,6.7873628,0.0001,0.834427329,-6.787262800000001
95,1,197.4767486102849,"[4.210729100643348, 0.8195823643774786, 22.66471023395993, 10.93207106496813, 0.860173166734334]",404.9534972205698,423.2682996212496,0.5069444444444444,4.33190814,0.000104410043,0.0708622833,0.0763205629,0.354403457,0.0054582796000000045
96,2,215.4884080979622,"[0.6031682025795637, 0.6819001524573656, 3.1583003537360024, 21.59100518289297, 0.2498856644557255]",440.9768161959244,459.8340218115745,0.3956386292834891,3.18066686,0.0001,3.11554678,21.6866686,0.84939765,18.571121820000002
97,1,182.77882775562853,"[4.683709075099903, 0.013461503921068926, 16.431202076646088, 21.941377332173953, 0.1706865368271326]",375.5576555112571,394.4304132389792,0.7236024844720497,3.48550522,0.00292045432,16.4311937,23.9999,0.697064549,7.568706299999999
98,2,225.3420930282705,"[4.46745259133388, 0.9709772339230156, 6.821182090982218, 0.08509437796968856, 0.6864842219492434]",460.6841860565411,479.6492540984618,0.5121951219512195,0.0632236254,0.9999,22.6359808,0.0001,0.0001,-22.6358808
99,1,75.43901778869945,"[0.7039827065629496, 0.21141584496125856, 11.769704559471165, 3.4780565593372024, 0.36613849048622155]",160.8780355773989,178.42497726053878,0.8866396761133604,0.26376906,0.0881282,23.9999,19.43755905,0.02633365,-4.562340949999999
