participant_id,best_initial_guess,best_parameters,best_nll,AIC,BIC
1,"[1.4156287146620832, 0.49041561284999846, 0.8869033299070262, 3.3265963083148242]",[1.04258183e+00 2.03208000e-02 1.00000000e-04 2.64384550e+00],67.6535502826864,143.3071005653728,157.26285146999953
2,"[2.56560249471816, 0.2803810432225329, 0.2867731973762533, 3.5493647397510095]",[1.47600058 0.06294795 0.9999     1.92409608],43.95714594279917,95.91429188559835,109.9356180293278
3,"[3.294960043153632, 0.040682227565624444, 0.7705003529243686, 4.328064331810558]",[9.28141913e-01 4.50230886e-02 1.67867439e-04 1.00000000e-04],169.52697409543396,347.0539481908679,361.1076631755278
4,"[1.74984987852704, 0.44349560884103134, 0.9347734705189547, 3.317297140922579]",[0.19343425 0.39457295 0.4549934  3.49149815],168.15922490692748,344.31844981385495,358.37216479851486
5,"[3.0558889553212922, 0.8735904158202717, 0.4950378248014505, 3.870581544898196]",[0.0001 0.0001 0.0001 0.0001],169.82106097890076,347.6421219578015,361.64715479998046
6,"[1.7871479343741619, 0.6689167734616278, 0.8989025461653326, 2.7532656486278544]",[7.37771281e-01 1.68690488e-02 1.00000000e-04 2.28738924e+00],102.88980497902101,213.77960995804202,227.80093610177147
7,"[0.6890671686174783, 0.469096574891194, 0.6751536865048109, 2.9104539699475933]",[0.50209356 0.00611538 0.92878463 2.09246853],154.30553647030848,316.61107294061696,330.6486262871289
8,"[3.0010968999002268, 0.6633475637144401, 0.4911750343705923, 0.9780203798882648]",[0.0001 0.0001 0.0001 0.0001],169.82106169292595,347.6421233858519,361.64715622803084
9,"[0.27194086334253736, 0.46727622690695964, 0.9905366118707363, 2.7484717340750087]",[1.00000000e-04 8.39226315e-01 1.00000000e-04 4.96923071e+00],168.43797302064553,344.87594604129106,358.8972721850205
10,"[2.624177180317683, 0.29950323045848337, 0.6399414262164921, 2.126690104999208]",[1.53213731e-03 5.01585765e-01 1.00000000e-04 1.86038858e+00],164.20375099481763,336.40750198963525,350.37974776299745
11,"[1.807881309091967, 0.5125492752902988, 0.37062121908755913, 3.2702137474168214]",[0.14229542 0.02461029 0.60456822 1.90018941],143.3141940213712,294.6283880427424,308.64971418647184
12,"[0.7013169101610284, 0.7415500631347466, 0.7404658225062596, 2.6541118042316323]",[1.00000000e-04 5.85594485e-01 5.34842208e-04 3.11688432e+00],165.37783525757646,338.75567051515293,352.7114214197797
13,"[4.686499958702306, 0.437231161947799, 0.8679304640352459, 4.17215120729969]",[8.34678199e-01 7.43575870e-02 1.00000000e-04 6.56691061e-01],166.41565121441434,340.8313024288287,354.9011140146875
14,"[0.9175807874958879, 0.07626096729322585, 0.48584029326958816, 0.14158575501346898]",[1.00377074e+00 6.44049088e-02 4.87810997e-01 1.00000000e-04],141.2792912337255,290.558582467451,304.6444261389
15,"[2.697858778044778, 0.15524370381260752, 0.8316067755881009, 4.547811899319108]",[0.0001 0.0001 0.0001 0.0001],164.2758853984036,336.5517707968072,350.4240113613477
16,"[0.2752022225757604, 0.03618693914988101, 0.9710981067852912, 0.9933492905146435]",[0.63523568 0.09503606 0.9663151  0.91868508],129.75672867128142,267.51345734256284,281.5184901847418
17,"[0.9066579229944361, 0.35140371058771963, 0.8520802607876775, 0.28513527881089834]",[4.27932991e-01 2.58828705e-01 1.00000000e-04 1.00000000e-04],157.54827663842192,323.09655327684385,336.98563597152975
18,"[2.255869634609246, 0.7571139543259476, 0.5761935179302413, 1.4245170131816025]",[6.97604687e-01 7.37520760e-02 1.00000000e-04 2.67164236e-01],167.6466938903561,343.2933877807122,357.3147139244416
19,"[0.9126797206728899, 0.021733851721074286, 0.7826654671841786, 2.087482517308893]",[0.0001 0.0001 0.0001 0.0001],170.51421245150507,349.02842490301015,363.0497510467396
20,"[0.5070608049646148, 0.2782019470233043, 0.8713846654856944, 0.8255689126305257]",[1.23787148 0.06430742 0.96211628 0.86021561],109.37991713717317,226.75983427434633,240.73208004770854
21,"[2.2454272773560082, 0.5032403583072613, 0.04504028966527987, 0.39039268258488696]",[1.00000000e-04 4.37956217e-01 9.35515976e-02 2.37539141e+00],163.22135044347303,334.44270088694606,348.41494666030826
22,"[1.8434094709369913, 0.27567311590459853, 0.7897610440349783, 2.723979776709961]",[0.6591731  0.09701618 0.01006567 0.2185673 ],151.90003554207354,311.8000710841471,325.75582198877385
23,"[0.032794769259067644, 0.9514310851815415, 0.33757913954485647, 0.8935416943437979]",[1.00000000e-04 6.72743866e-01 3.38170826e-01 8.93271275e-01],167.01507105579157,342.03014211158313,355.96932984554576
24,"[1.0010895697068098, 0.5296130412917703, 0.5300444596732935, 0.48281431846690454]",[0.07488392 0.5202129  0.00513922 1.50088106],165.0738615173959,338.1477230347918,352.0869107687544
25,"[2.695372228107664, 0.6853917969309735, 0.7406324967172434, 1.0838202162126958]",[1.00000000e-04 5.19937371e-01 1.20412165e-03 1.71065213e+00],167.140077999877,342.280155999754,356.30148214348344
26,"[2.310631709543946, 0.9375855731458536, 0.23225431148106837, 0.8892322274105765]",[1.63066584 0.05631627 0.06658244 1.27290556],62.10656123577304,132.2131224715461,146.2017953727189
27,"[0.8990782879213609, 0.01912143917531136, 0.6883263512512818, 3.730478170205645]",[0.66143863 0.00504867 0.82661282 4.9999    ],100.74797102047394,209.49594204094788,223.5334953874598
28,"[2.106420705409598, 0.3808919486724985, 0.9390840978400445, 4.6632088200764175]",[6.1374338e-02 2.0574679e-04 1.0000000e-04 4.9999000e+00],136.0970500663695,280.194100132739,294.1166558261069
29,"[2.2223926032372705, 0.03272931215482168, 0.21280861363831893, 1.945319333385167]",[1.13203784 0.02134147 0.23745491 3.49624668],55.55563354996405,119.1112670999281,133.03382279329605
30,"[0.0026116763047537815, 0.8912834416064678, 0.002688011514617285, 2.791885155863447]",[5.29914487e-01 9.40208900e-01 1.00000000e-04 4.99990000e+00],152.17794188289307,312.35588376578613,326.37720990951556
31,"[4.86926233167856, 0.07577627606253909, 0.08709669672757979, 0.17954830078604422]",[4.99990000e+00 4.14340904e-02 9.35793346e-01 1.00000000e-04],139.00147144141934,286.0029428828387,299.9751886562009
32,"[3.5640117324788614, 0.5000347178060899, 0.7812726914585739, 3.8226502729563103]",[1.00000000e-04 9.41730150e-02 1.00000000e-04 5.55042116e-01],168.54203842598108,345.08407685196215,359.0891096941411
33,"[4.905110060441763, 0.6975996798250234, 0.1195987946039569, 1.692030671816572]",[4.90312157 0.01269681 0.99572924 1.96452048],54.58941087714193,117.17882175428386,131.2486333401427
34,"[4.009486171478351, 0.27439458151301516, 0.9927116489358455, 3.583944092357238]",[7.68107574e-01 5.30247652e-02 3.00389419e-04 4.91506228e-01],158.68332632123176,325.3666526424635,339.30584037642615
35,"[0.5294863271292778, 0.9192336762850261, 0.6929236001231394, 0.6730410556599395]",[1.00000000e-04 1.12456317e-01 1.00000000e-04 6.20909920e-01],169.40844015954917,346.81688031909835,360.85443366561026
36,"[3.2852572712032173, 0.2847493638979099, 0.4372636099753685, 4.510215857386667]",[1.23571631e+00 4.94131865e-02 1.00000000e-04 1.44405489e+00],117.52659732839125,243.0531946567825,257.0907480032944
37,"[2.3693601626061054, 0.1811638430772596, 0.8207811104738197, 0.4773013016518135]",[0.00010001 0.0001     0.0001     0.0001    ],162.8895883638148,333.7791767276296,347.61751878420625
38,"[1.8311140601212597, 0.8220835549733243, 0.7918417108250747, 4.297792764585796]",[1.00000000e-04 5.86271135e-01 6.94710881e-01 4.29869365e+00],168.04474855636448,344.08949711272896,358.06174288609117
39,"[1.895411270679112, 0.9349450246381154, 0.999806651605617, 0.05000942455829298]",[0.06417471 0.25375489 0.65471411 2.7870272 ],162.17189949426538,332.34379898853075,346.3651251322602
40,"[2.6012504796929297, 0.7009710259716413, 0.00694812578043336, 4.06930773753793]",[1.33935762e+00 2.09497647e-02 1.00000000e-04 2.24439298e+00],80.66234278398318,169.32468556796636,183.31335846913916
41,"[2.072628889544983, 0.40246163987854183, 0.3588302961016168, 3.89432436905451]",[0.0001 0.0001 0.0001 0.0001],169.12792504675969,346.25585009351937,360.2445229946922
42,"[0.006666911233408618, 0.23486119475760664, 0.39912606312803195, 0.07223329540551798]",[1.00000000e-04 4.88279751e-01 4.54184515e-01 1.53561851e-01],171.09313122326634,350.1862624465327,364.2238157930446
43,"[1.3201741373521647, 0.12346585018297368, 0.299207517872001, 2.147585571844521]",[6.59952673e-01 1.32039319e-01 4.45763209e-01 1.00000000e-04],150.78674902633034,309.5734980526607,323.5785308948396
44,"[0.021636092719747542, 0.6498535726337773, 0.19917147654213277, 0.011747610627531832]",[3.69366675e-02 9.21974073e-01 2.64464748e-01 1.00000000e-04],167.72442498812202,343.44884997624405,357.4046008808708
45,"[0.024671752687937944, 0.5507325609376285, 0.9215160962418558, 4.047278574698987]",[1.00000000e-04 7.63518378e-01 5.09815864e-01 4.99990000e+00],163.68906148956864,335.3781229791373,349.2672056738232
46,"[3.196774007912398, 0.24986816282857746, 0.7934518766756166, 3.7702848814266976]",[1.88062420e+00 2.52960791e-04 1.00000000e-04 4.99990000e+00],127.66455153789295,263.3291030757859,277.33413591796483
47,"[2.1434054476124786, 0.4218473253635588, 0.6700538766305779, 0.43463975035342267]",[2.31109589e-02 6.06466093e-01 1.00000000e-04 1.42707812e+00],170.21963929947105,348.4392785989421,362.492993583602
48,"[3.098124194491171, 0.710991634898521, 0.44143342532694796, 3.943862307593232]",[0.4828988  0.07164046 0.07220478 0.20347467],169.19351500632317,346.38703001264633,360.39206285482527
49,"[3.055532081537169, 0.34645814178708434, 0.768628423395925, 1.4834032287349388]",[3.18697471e-01 2.73292530e-01 1.00000000e-04 1.00000000e-04],164.07220944641827,336.14441889283654,350.1001697974633
50,"[1.5100597093906951, 0.6013579299410162, 0.6365316160190516, 2.7830034730985656]",[0.0001 0.0001 0.0001 0.0001],171.90052278411292,351.80104556822585,365.85476055288575
51,"[2.6234116484619703, 0.6875126258199522, 0.45395625511345955, 4.311463044497699]",[1.00000000e-04 1.43558978e-03 8.86255012e-01 4.99990000e+00],115.14825130797202,238.29650261594404,252.26874838930624
52,"[0.9889414187955943, 0.8187520391984651, 0.9261974247952979, 1.151056953931206]",[5.55668044e-01 2.66378572e-01 7.72653350e-02 1.00000000e-04],144.75178564585934,297.5035712917187,311.22095380753643
53,"[0.38454551378589813, 0.5955127215050188, 0.9041419299705853, 4.78177104475759]",[0.00859764 0.68526795 0.36798467 4.76407109],167.40563078981486,342.81126157962973,356.83258772335915
54,"[0.7448958909202519, 0.7651593759202124, 0.12020651280540906, 0.9170755708954635]",[0.06287082 0.79172225 0.01082923 2.68573307],157.8985774552556,323.7971549105112,337.5841043971765
55,"[1.1106991077464101, 0.8221165009452304, 0.3602886140839178, 0.3093756037271016]",[3.71953510e-03 2.51342734e-01 1.00000000e-04 1.00000000e-04],167.71345634764887,343.42691269529774,357.3826635999245
56,"[2.1450005732378403, 0.8429623673927166, 0.4545591236032029, 4.8620312329430995]",[1.00000000e-04 8.39159832e-01 1.00000000e-04 4.86696526e+00],169.82261000305377,347.64522000610754,361.66654614983696
57,"[3.5584451148803877, 0.10902704786167731, 0.6668202006977803, 3.727668264233106]",[0.0001 0.0001 0.0001 0.0001],169.82107336763508,347.64214673527016,361.6471795774491
58,"[0.29632333034025954, 0.4585357532798596, 0.3288885901420051, 3.8684638625236696]",[1.00000000e-04 7.57100702e-01 6.58542546e-01 4.99990000e+00],162.7719100569701,333.5438201139402,347.39914733404265
59,"[0.5166954827479684, 0.2983567918259678, 0.6080052237766574, 2.9253786219160447]",[1.00000000e-04 5.77174355e-04 3.49072969e-01 4.99990000e+00],77.16421893438437,162.32843786876873,176.39824945462755
60,"[0.9679070083433075, 0.32036722829018355, 0.9524427319663251, 4.879652028109524]",[1.00000000e-04 7.99324589e-01 8.12205712e-01 4.99990000e+00],167.63077238706663,343.26154477413326,357.21729567876
61,"[0.4784402639284622, 0.28751549008145155, 0.7103501596397612, 0.6714853788565229]",[0.59626518 0.13057311 0.9999     0.68327946],151.98763118472385,311.9752623694477,326.0128157159596
62,"[1.2725336588312313, 0.12831604614201453, 0.5809378470967758, 1.9226175479574454]",[1.00000000e-04 1.93081250e-02 1.00000000e-04 2.08327101e+00],103.26589588626736,214.53179177253472,227.8626669455962
63,"[0.300786136849214, 0.13934652568278505, 0.38904164124037643, 1.0254402017162565]",[0.29191721 0.37121033 0.03071759 2.41719222],158.5003091586476,325.0006183172952,338.9728640906574
64,"[0.0030319681625346324, 0.42154516782806756, 0.9947159642247049, 0.7004390638717183]",[1.00000000e-04 5.51670934e-01 2.12924465e-01 4.76778412e+00],163.14707596727234,334.2941519345447,348.2828248357175
65,"[2.360465504944496, 0.44246822766972055, 0.0837084253705692, 3.607181615435681]",[1.00000000e-04 2.97034854e-02 1.00000000e-04 1.18600278e+00],156.44589594656802,320.89179189313603,334.92934523964794
66,"[2.5684280694513824, 0.7114975787816956, 0.8076635312724706, 2.9826181724003593]",[4.35259319e-02 2.02849020e-01 1.00000000e-04 1.11111366e+00],168.09753726314258,344.19507452628517,358.2326278727971
67,"[1.7480238913535948, 0.5727000833512297, 0.1806113032617367, 4.538363843259706]",[0.38843199 0.62101087 0.00635294 4.53836414],158.93685192011466,325.8737038402293,339.89502998395875
68,"[0.1511894230157505, 0.28181772055454024, 0.9967817164359783, 3.423551263473282]",[0.16765155 0.28409799 0.90762626 2.67099976],166.5513600903175,341.102720180635,355.09139308180784
69,"[0.048091979318569136, 0.23480930809007972, 0.854196421926987, 0.7539959042373232]",[1.00000000e-04 4.03774721e-01 8.88384926e-04 1.70284132e+00],168.93482475046977,345.86964950093954,359.9554931723885
70,"[3.3977297817367003, 0.863143956043842, 0.047715569024321135, 1.6510935210031752]",[1.00023021e-04 1.06162081e-04 1.00000000e-04 4.99990000e+00],161.09874005296552,330.19748010593105,344.2188062496605
71,"[0.18644101312670494, 0.8170504613483928, 0.45470950817627176, 2.8149929595081606]",[1.00000000e-04 9.33354879e-01 1.00000000e-04 4.99990000e+00],167.84388991030042,343.68777982060084,357.67645272177367
72,"[0.2434316141367316, 0.2844388107716439, 0.8046328697974766, 0.9085372588114065]",[0.00220917 0.17943766 0.90387334 1.65975972],169.39518550802902,346.79037101605803,360.82792436256995
73,"[0.7101583855622068, 0.6707707833738147, 0.5468438634177221, 4.8197009221028715]",[1.00000000e-04 4.71077992e-01 8.95919482e-01 4.81969836e+00],169.3568875197604,346.7137750395208,360.7188078816997
74,"[2.107266610676086, 0.08665817380464758, 0.9953429389255403, 2.8354627797324428]",[0.0001 0.0001 0.0001 0.0001],164.2758858874561,336.5517717749122,350.4240123394527
75,"[0.31745326694891846, 0.1169157808570782, 0.005070572016515396, 1.2075797553770187]",[1.40330197e+00 6.76919200e-02 1.00000000e-04 1.00000000e-04],53.50578504234384,115.01157008468768,129.0166029268666
76,"[0.6584684143909723, 0.19444687881732467, 0.5651380799315292, 3.212073330025467]",[0.70991048 0.02239534 0.00703348 2.21313395],127.39876590425041,262.7975318085008,276.769777581863
77,"[3.558903531670664, 0.23435767509531827, 0.5910766753369479, 4.125550611267065]",[1.29146563e-01 5.46367957e-01 7.70124563e-03 1.00000000e-04],171.26298093220848,350.52596186441696,364.57967684907686
78,"[1.4020923062612878, 0.06410034953706242, 0.2503899648132517, 1.5092447130424145]",[4.53494599e+00 2.46427298e-04 1.00000000e-04 4.99990000e+00],128.12970575987478,264.25941151974956,278.23165729311177
79,"[4.388291413332471, 0.5989558220003283, 0.8929867007813415, 2.42653102799191]",[4.38829141e+00 5.40113612e-03 8.69399712e-01 1.00000000e-04],108.39594729279433,224.79189458558866,238.71445027895663
80,"[0.0859138006608099, 0.7551423292153229, 0.49854820312741127, 3.7745409464565647]",[1.00000000e-04 7.95319973e-01 1.00000000e-04 3.77462052e+00],164.76274177815833,337.52548355631666,351.4313377640427
81,"[0.0036214959730230603, 0.941418213001256, 0.17133162382784903, 1.466192556922864]",[1.00000000e-04 7.80696975e-01 2.72385681e-01 2.71974349e+00],165.93752531618418,339.87505063236836,353.814238366331
82,"[3.306174158981939, 0.5454462408885584, 0.9950234700862182, 3.0174592592603338]",[6.58352602e-01 1.38545921e-01 5.43603862e-01 1.00000000e-04],154.2005822713737,316.4011645427474,330.4548795274073
83,"[0.7280435752412696, 0.05936322291876951, 0.8135196177586632, 0.8909721829133593]",[0.0001 0.0001 0.0001 0.0001],171.20736266879143,350.41472533758287,364.4522786840948
84,"[2.0492640435337326, 0.5137330614881227, 0.11026113955693634, 1.326759912026609]",[1.37868181e+00 6.73581570e-02 1.05579919e-01 1.00000000e-04],64.57881143116363,137.15762286232726,151.19517620883917
85,"[3.776166768831825, 0.48181158714639605, 0.6563086917587624, 3.386521032639555]",[3.30729680e-01 4.71310842e-02 1.40278902e-01 1.00000000e-04],172.77659600531902,353.55319201063804,367.639035682087
86,"[0.15218092098222272, 0.14895918244825457, 0.6461296934415854, 4.50282655059295]",[1.00000000e-04 9.54337863e-01 1.00000000e-04 4.99990000e+00],170.22037109795525,348.4407421959105,362.4620683396399
87,"[3.2714238535764015, 0.5630319062723524, 0.7212623885549709, 4.2958801874982475]",[1.00000011e-04 1.37584178e-04 1.00000000e-04 4.99990000e+00],147.36691404142695,302.7338280828539,316.6060686473944
88,"[0.5088070754381501, 0.578116410174931, 0.03100716899691917, 0.0014301982325545248]",[2.01513022e-01 1.86214222e-01 1.85496831e-04 1.00000000e-04],169.07335857574887,346.14671715149774,360.1517499936767
89,"[2.4103141548120495, 0.9704017274459333, 0.6558440854187219, 3.5723576907056263]",[1.00000000e-04 3.89826517e-01 8.04642915e-01 2.36046244e+00],167.89944023832345,343.7988804766469,357.8202066203763
90,"[1.8895012314946735, 0.4344417847169274, 0.8801464824004399, 2.987315260661152]",[0.60375042 0.02027095 0.00454437 2.48696666],71.21908313071295,150.4381662614259,164.4757196079378
91,"[1.5203797699503039, 0.6717578953707792, 0.16819070436204786, 3.7040854606712643]",[0.09691385 0.67397877 0.68333225 3.84108057],168.62517720508137,345.25035441016274,359.2553872523417
92,"[4.225355130985892, 0.15838438343994626, 0.6311640712328008, 4.661398322125906]",[2.75869142e-01 9.63888277e-02 1.00000000e-04 1.00000000e-04],168.7939854973494,345.5879709946988,359.59300383687776
93,"[3.9090763236194337, 0.5872163787794539, 0.10292428505815558, 0.22830524102305613]",[1.00000000e-04 2.61065395e-02 5.26513708e-02 1.67215966e+00],142.14136144853617,292.28272289707235,306.2877557392513
94,"[1.864410578770342, 0.2618278525862894, 0.5061037008345215, 3.6839185339534724]",[0.09393399 0.90220796 0.9999     3.45828456],170.15477876618982,348.30955753237964,362.33088367610907
95,"[1.115462557604041, 0.18579367269610197, 0.04311081485637081, 1.2446758191522533]",[4.60107783e-01 5.85591278e-02 1.00000000e-04 1.00000000e-04],166.30056859602666,340.60113719205333,354.62246333578275
96,"[0.15930130760041603, 0.8463939791325328, 0.21719130628119127, 1.1775966089256764]",[6.51992584e-02 7.78893139e-01 1.00000000e-04 2.41497046e+00],154.38750538426223,316.77501076852445,330.43941237734214
97,"[2.174998119370332, 0.16994849820266622, 0.41105441456004915, 0.9317400064241613]",[7.70937323e-02 1.16926299e-01 1.00000000e-04 1.14024933e+00],159.6483933885566,327.2967867771132,341.21934247048114
98,"[1.436170630565182, 0.2864366597469056, 0.40388434153521974, 2.09320357829103]",[1.01780718e+00 5.88443671e-02 4.88373992e-04 1.04817204e+00],129.15315301951193,266.30630603902387,280.26205694365063
99,"[0.6194704804340725, 0.9834577591198999, 0.6325547715950927, 0.38962860873055066]",[0.04305232 0.89986276 0.66400811 0.35895589],170.4473995534348,348.8947991068696,362.916125250599
100,"[1.0249324991646889, 0.43391868101180114, 0.15308425821350755, 1.5037089434005084]",[1.15445099e+00 2.47929783e-01 1.00000000e-04 1.32084772e+00],77.5083470971233,163.0166941942466,177.05424754075852
